ATC1,NAZIV,joint_name
A,ZDRAVILA ZA BOLEZNI PREBAVIL IN PRESNOVE,A - ZDRAVILA ZA BOLEZNI PREBAVIL IN PRESNOVE
B,ZDRAVILA ZA BOLEZNI KRVI IN KRVOTVORNIH ORGANOV,B - ZDRAVILA ZA BOLEZNI KRVI IN KRVOTVORNIH ORGANOV
C,ZDRAVILA ZA BOLEZNI SRCA IN OŽILJA,C - ZDRAVILA ZA BOLEZNI SRCA IN OŽILJA
D,ZDRAVILA ZA BOLEZNI KOŽE IN PODKOŽNEGA TKIVA,D - ZDRAVILA ZA BOLEZNI KOŽE IN PODKOŽNEGA TKIVA
G,ZDRAVILA ZA BOLEZNI SEČIL IN SPOLOVIL TER SPOLNI HORMONI,G - ZDRAVILA ZA BOLEZNI SEČIL IN SPOLOVIL TER SPOLNI HORMONI
H,HORMONSKA ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE - RAZEN SPOLNIH HORMONOV IN INSULINOV,H - HORMONSKA ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE - RAZEN SPOLNIH HORMONOV IN INSULINOV
J,ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE INFEKCIJ,J - ZDRAVILA ZA SISTEMSKO ZDRAVLJENJE INFEKCIJ
L,ZDRAVILA Z DELOVANJEM NA NOVOTVORBE IN IMUNOMODULATORJI,L - ZDRAVILA Z DELOVANJEM NA NOVOTVORBE IN IMUNOMODULATORJI
M,ZDRAVILA ZA BOLEZNI MIŠIČNO-SKELETNEGA SISTEMA,M - ZDRAVILA ZA BOLEZNI MIŠIČNO-SKELETNEGA SISTEMA
N,ZDRAVILA Z DELOVANJEM NA ŽIVČEVJE,N - ZDRAVILA Z DELOVANJEM NA ŽIVČEVJE
P,"ANTIPARAZITIKI, INSEKTICIDI IN REPELENTI","P - ANTIPARAZITIKI, INSEKTICIDI IN REPELENTI"
R,ZDRAVILA ZA BOLEZNI DIHAL,R - ZDRAVILA ZA BOLEZNI DIHAL
S,ZDRAVILA ZA BOLEZNI ČUTIL,S - ZDRAVILA ZA BOLEZNI ČUTIL
V,RAZNA ZDRAVILA,V - RAZNA ZDRAVILA
