ATC5,NAZIV,joint_name
A01AA01,natrijev fluorid,A01AA01 - natrijev fluorid
A01AA51,"natrijev fluorid, kombinacije","A01AA51 - natrijev fluorid, kombinacije"
A01AB09,mikonazol,A01AB09 - mikonazol
A01AD11,razne učinkovine,A01AD11 - razne učinkovine
A02AB01,aluminijev hidroksid,A02AB01 - aluminijev hidroksid
A02AD04,hidrotalcit,A02AD04 - hidrotalcit
A02AH,Antacidi z natrijevim hidrogenkarbonatom,A02AH - Antacidi z natrijevim hidrogenkarbonatom
A02BA02,ranitidin,A02BA02 - ranitidin
A02BA03,famotidin,A02BA03 - famotidin
A02BC01,omeprazol,A02BC01 - omeprazol
A02BC02,pantoprazol,A02BC02 - pantoprazol
A02BC03,lansoprazol,A02BC03 - lansoprazol
A02BC05,esomeprazol,A02BC05 - esomeprazol
A02BX02,sukralfat (aluminijev saharozni sulfat),A02BX02 - sukralfat (aluminijev saharozni sulfat)
A02BX05,bazični bizmutov citrat,A02BX05 - bazični bizmutov citrat
A03AA04,mebeverin,A03AA04 - mebeverin
A03BB01,butilskopolamin,A03BB01 - butilskopolamin
A03FA01,metoklopramid,A03FA01 - metoklopramid
A03FA03,domperidon,A03FA03 - domperidon
A04AA01,ondansetron,A04AA01 - ondansetron
A04AA02,granisetron,A04AA02 - granisetron
A04AA03,tropisetron,A04AA03 - tropisetron
A04AA55,"palonosetron, kombinacije","A04AA55 - palonosetron, kombinacije"
A04AD01,skopolamin,A04AD01 - skopolamin
A04AD12,aprepitant,A04AD12 - aprepitant
A05AA02,ursodeoksiholna kislina,A05AA02 - ursodeoksiholna kislina
A05AA04,obetiholna kislina,A05AA04 - obetiholna kislina
A06AD,Osmozna odvajala,A06AD - Osmozna odvajala
A06AD11,laktuloza,A06AD11 - laktuloza
A06AD12,laktitol,A06AD12 - laktitol
A06AH01,metilnaltreksonijev bromid,A06AH01 - metilnaltreksonijev bromid
A06AH03,naloksegol,A06AH03 - naloksegol
A06AX01,glicerol,A06AX01 - glicerol
A07AA,Antibiotiki,A07AA - Antibiotiki
A07CA,Soli za peroralno rehidracijo,A07CA - Soli za peroralno rehidracijo
A07DA03,loperamid,A07DA03 - loperamid
A07EA06,budezonid,A07EA06 - budezonid
A07EC01,sulfasalazin (salazosulfapiridin),A07EC01 - sulfasalazin (salazosulfapiridin)
A07EC02,mesalazin,A07EC02 - mesalazin
A09AA02,"multiencimska zdravila (lipaze, proteaze)","A09AA02 - multiencimska zdravila (lipaze, proteaze)"
A10AB01,humani insulin,A10AB01 - humani insulin
A10AB04,insulin lispro,A10AB04 - insulin lispro
A10AB05,insulin aspart,A10AB05 - insulin aspart
A10AB06,insulin glulizin,A10AB06 - insulin glulizin
A10AC01,humani insulin,A10AC01 - humani insulin
A10AD01,humani insulin,A10AD01 - humani insulin
A10AD04,insulin lispro,A10AD04 - insulin lispro
A10AD05,insulin aspart,A10AD05 - insulin aspart
A10AE04,insulin glargin,A10AE04 - insulin glargin
A10AE05,insulin detemir,A10AE05 - insulin detemir
A10AE06,insulin degludek,A10AE06 - insulin degludek
A10AE54,insulin glargin in liksizenatid,A10AE54 - insulin glargin in liksizenatid
A10AE56,insulin degludek in liraglutid,A10AE56 - insulin degludek in liraglutid
A10BA02,metformin,A10BA02 - metformin
A10BB01,glibenklamid,A10BB01 - glibenklamid
A10BB07,glipizid,A10BB07 - glipizid
A10BB08,glikvidon,A10BB08 - glikvidon
A10BB09,gliklazid,A10BB09 - gliklazid
A10BB12,glimepirid,A10BB12 - glimepirid
A10BD02,metformin in sulfonilsečnine,A10BD02 - metformin in sulfonilsečnine
A10BD03,metformin in rosiglitazon,A10BD03 - metformin in rosiglitazon
A10BD07,metformin in sitagliptin,A10BD07 - metformin in sitagliptin
A10BD08,metformin in vildagliptin,A10BD08 - metformin in vildagliptin
A10BD09,pioglitazon in alogliptin,A10BD09 - pioglitazon in alogliptin
A10BD10,metformin in saksagliptin,A10BD10 - metformin in saksagliptin
A10BD11,metformin in linagliptin,A10BD11 - metformin in linagliptin
A10BD13,metformin in alogliptin,A10BD13 - metformin in alogliptin
A10BD15,metformin in dapagliflozin,A10BD15 - metformin in dapagliflozin
A10BD20,metformin in empagliflozin,A10BD20 - metformin in empagliflozin
A10BF01,akarboza,A10BF01 - akarboza
A10BG02,rosiglitazon,A10BG02 - rosiglitazon
A10BH01,sitagliptin,A10BH01 - sitagliptin
A10BH02,vildagliptin,A10BH02 - vildagliptin
A10BH03,saksagliptin,A10BH03 - saksagliptin
A10BH04,alogliptin,A10BH04 - alogliptin
A10BH05,linagliptin,A10BH05 - linagliptin
A10BJ01,eksenatid,A10BJ01 - eksenatid
A10BJ02,liraglutid,A10BJ02 - liraglutid
A10BJ03,liksizenatid,A10BJ03 - liksizenatid
A10BJ05,dulaglutid,A10BJ05 - dulaglutid
A10BJ06,semaglutid,A10BJ06 - semaglutid
A10BK01,dapagliflozin,A10BK01 - dapagliflozin
A10BK03,empagliflozin,A10BK03 - empagliflozin
A10BX02,repaglinid,A10BX02 - repaglinid
A11CB,Vitamina  A in D v kombinacijah,A11CB - Vitamina  A in D v kombinacijah
A11CC03,alfakalcidol (kalcidiol),A11CC03 - alfakalcidol (kalcidiol)
A11CC04,kalcitriol,A11CC04 - kalcitriol
A11CC05,holekalciferol,A11CC05 - holekalciferol
A11DB,Vitamin B1 v kombinaciji z vitaminom B6 ali B12 ali obema,A11DB - Vitamin B1 v kombinaciji z vitaminom B6 ali B12 ali obema
A11HA02,piridoksin (vitamin B6),A11HA02 - piridoksin (vitamin B6)
A11HA31,kalcijev pantotenat,A11HA31 - kalcijev pantotenat
A12AA04,kalcijev karbonat,A12AA04 - kalcijev karbonat
A12BA01,kalijev klorid,A12BA01 - kalijev klorid
A12BA30,kombinacije kalijevih soli,A12BA30 - kombinacije kalijevih soli
A16AA01,levokarnitin,A16AA01 - levokarnitin
A16AA04,merkaptamin,A16AA04 - merkaptamin
A16AA06,betain,A16AA06 - betain
A16AB02,imigluceraza,A16AB02 - imigluceraza
A16AB03,agalzidaza alfa,A16AB03 - agalzidaza alfa
