ATC4,NAZIV,joint_name
A01AA,Zdravila za zaščito pred zobnim kariesom,A01AA - Zdravila za zaščito pred zobnim kariesom
A01AB,Protimikrobne učinkovine in antiseptiki za lokalno oralno zdravljenje,A01AB - Protimikrobne učinkovine in antiseptiki za lokalno oralno zdravljenje
A01AD,Druga zdravila za lokalno oralno zdravljenje,A01AD - Druga zdravila za lokalno oralno zdravljenje
A02AB,Aluminijeve spojine,A02AB - Aluminijeve spojine
A02AD,"Zdravila z aluminijem, kalcijem in magnezijem","A02AD - Zdravila z aluminijem, kalcijem in magnezijem"
A02AH,Antacidi z natrijevim hidrogenkarbonatom,A02AH - Antacidi z natrijevim hidrogenkarbonatom
A02BA,Antagonisti histaminskih receptorjev H2,A02BA - Antagonisti histaminskih receptorjev H2
A02BC,Zaviralci protonske črpalke,A02BC - Zaviralci protonske črpalke
A02BX,Druga zdravila za zdravljenje peptične razjede in gastroezofagealne refluksne bolezni (GERB),A02BX - Druga zdravila za zdravljenje peptične razjede in gastroezofagealne refluksne bolezni (GERB)
A03AA,"Sintezni antiholinergiki, estri s terciarno aminoskupino","A03AA - Sintezni antiholinergiki, estri s terciarno aminoskupino"
A03BB,Polsintezni alkaloidi volčje češnje s kvaterno amonijevo skupino,A03BB - Polsintezni alkaloidi volčje češnje s kvaterno amonijevo skupino
A03FA,Propulzivi,A03FA - Propulzivi
A04AA,Antagonisti serotoninskih 5-HT3-receptorjev,A04AA - Antagonisti serotoninskih 5-HT3-receptorjev
A04AD,Drugi antiemetiki,A04AD - Drugi antiemetiki
A05AA,Žolčne kisline in derivati,A05AA - Žolčne kisline in derivati
A06AD,Osmozna odvajala,A06AD - Osmozna odvajala
A06AH,Periferno delujoči antagonisti opioidnih receptorjev,A06AH - Periferno delujoči antagonisti opioidnih receptorjev
A06AX,Druga zdravila proti zaprtju,A06AX - Druga zdravila proti zaprtju
A07AA,Antibiotiki,A07AA - Antibiotiki
A07CA,Soli za peroralno rehidracijo,A07CA - Soli za peroralno rehidracijo
A07DA,Antiperistaltiki,A07DA - Antiperistaltiki
A07EA,Kortikosteroidi z lokalnim delovanjem,A07EA - Kortikosteroidi z lokalnim delovanjem
A07EC,Aminosalicilna kislina in njeni derivati,A07EC - Aminosalicilna kislina in njeni derivati
A09AA,Encimska zdravila,A09AA - Encimska zdravila
A10AB,"Insulini in analogi za injiciranje, s hitrim delovanjem","A10AB - Insulini in analogi za injiciranje, s hitrim delovanjem"
A10AC,"Insulini in analogi za injiciranje, s srednje dolgim delovanjem","A10AC - Insulini in analogi za injiciranje, s srednje dolgim delovanjem"
A10AD,"Insulini in analogi za injiciranje, s srednje dolgim ali dolgotrajnim delovanjem, s takojšnjim učinkom","A10AD - Insulini in analogi za injiciranje, s srednje dolgim ali dolgotrajnim delovanjem, s takojšnjim učinkom"
